, Percentage habitat area exceeded by country:, , , ,
, [total area (km2) nitrogen-sensitive habitats by country], , , ,
, England, Wales, Scotland, NI, UK
Year, [19522], [6837], [43200], [3467], [73027]
1995-1997, 98.3, 98, 59.4, 92.6, 75
1998-2000, 97.6, 92.5, 48.9, 80, 67.5
1999-2001, 97.7, 91.1, 50.9, 82.5, 68.7
2001-2003, 97.8, 93.5, 47.7, 85.4, 67.1
2002-2004, 97.6, 93.3, 50.2, 86.3, 68.6
2003-2005, 97.5, 94.1, 50.6, 83.8, 68.8
2004-2006, 96.7, 93.2, 52.9, 84.8, 69.9
2005-2007, 96.5, 93.6, 53.6, 86.4, 70.4
2006-2008, 96.1, 92.9, 49, 86.8, 67.5
2007-2009, 96.4, 91.7, 41.8, 88.7, 63.3
2008-2010, 96.5, 89.7, 40.7, 89.7, 62.6
2009-2011, 97, 89.8, 44.5, 91.4, 65
2010-2012, 96.5, 89.6, 41.4, 88.5, 62.9
2011-2013, 96, 90.3, 40.7, 89.9, 62.5
2012-2014, 95.9, 89.4, 40.9, 86.4, 62.3
2013-2015, 95.8, 88.5, 42.8, 87.4, 63.4
2014-2016, 95.7, 88.5, 40.8, 85.1, 62.1
2015-2017, 94.8, 88, 34.7, 84.2, 58.1
2016-2018, 95.1, 87.6, 34, 81.2, 57.6
Reduction in % area exceeded 1996-2017, 3.3, 10.5, 25.4, 11.5, 17.4
