NCFormat,IPCC,OIF_category
Agriculture,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
Agriculture,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture
Agriculture,2D1_Lubricant_Use,Agriculture
Agriculture,3A1a Enteric Fermentation - dairy cows,Agriculture
Agriculture,3A1b Enteric Fermentation - other cattle,Agriculture
Agriculture,3A2 Enteric Fermentation - sheep,Agriculture
Agriculture,3A3 Enteric Fermentation - swine,Agriculture
Agriculture,3A4 Enteric Fermentation - other livestock,Agriculture
Agriculture,3B11a Manure management - CH4 - dairy cows,Agriculture
Agriculture,3B11b Manure management - CH4 - other cattle,Agriculture
Agriculture,3B12 Manure management - CH4 - sheep,Agriculture
Agriculture,3B13 Manure management - CH4 - swine,Agriculture
Agriculture,3B14 Manure management - CH4 - other livestock,Agriculture
Agriculture,3B21a Manure management - N2O and NMVOC - dairy cattle,Agriculture
Agriculture,3B21b Manure management - N2O and NMVOC - other cattle,Agriculture
Agriculture,3B22 Manure management - N2O and NMVOC - sheep,Agriculture
Agriculture,3B23 Manure management - N2O and NMVOC -swine ,Agriculture
Agriculture,3B24 Manure management - N2O and NMVOC - other livestock,Agriculture
Agriculture,3B25 Manure management - N2O and NMVOC - indirect N2O emissions,Agriculture
Agriculture,3D11 Inorganic N Fertilizers,Agriculture
Agriculture,3D12a Animal manure applied to soils,Agriculture
Agriculture,3D12b Sewage sludge applied to soils,Agriculture
Agriculture,3D13 Urine and Dung deposited by grazing animals,Agriculture
Agriculture,3D14 Crop Residues,Agriculture
Agriculture,3D15 Mineralisation/immobilisation associated with loss/gain of soil organic matter,Agriculture
Agriculture,3D16 Cultivation of Organic soils,Agriculture
Agriculture,3D21 Atmospheric Deposition,Agriculture
Agriculture,3D22 Nitrogen Leaching and Run-off,Agriculture
Agriculture,3F11_Field_burning,Agriculture
Agriculture,3F12_Field_burning,Agriculture
Agriculture,3F14_Field_burning,Agriculture
Agriculture,3F5_Field_burning,Agriculture
Agriculture,3G1_Liming - limestone,Agriculture
Agriculture,3G2_Liming - dolomite,Agriculture
Agriculture,3H Urea Application,Agriculture
Agriculture Total,,
Business,1A2a_Iron_and_steel,
Business,1A2b_Non-Ferrous_Metals,
Business,1A2c_Chemicals,
Business,1A2d_Pulp_Paper_Print,
Business,1A2e_food_processing_beverages_and_tobacco,
Business,1A2f_Non-metallic_minerals,
Business,1A2gvii_Off-road_vehicles_and_other_machinery,
Business,1A2gviii_Other_manufacturing_industries_and_construction,
Business,1A4ai_Commercial/Institutional,
Business,2B1_Chemical_Industry:Ammonia_production,
Business,2B8a_Methanol_production,
Business,2B8g_Petrochemical_and_carbon_black_production:Other,
Business,2D1_Lubricant_Use,
Business,2D4_Other_NEU,
Business,2E1_Integrated_circuit_or_semiconductor,Fluorinated gases
Business,2F1a_Commercial_refrigeration,Fluorinated gases
Business,2F1b_Domestic_refrigeration,Fluorinated gases
Business,2F1c_Industrial_refrigeration,Fluorinated gases
Business,2F1d_Transport_refrigeration,Fluorinated gases
Business,2F1e_Mobile_air_conditioning,Fluorinated gases
Business,2F1f_Stationary_air_conditioning,Fluorinated gases
Business,2F2a_Closed_foam_blowing_agents,Fluorinated gases
